"UID","accession_no","issn","eissn","doi","doc_type","source","itemtitle","pubyear","pubmonth","coverdate","sortdate","vol","pubtype","issue","supplement","special_issue","part_no","indicator","is_archive","has_abstract","oases_type_gold","abstract"
"WOS:000071806400001","YV270","0170-8406","1741-3044","NULL","Article","ORGANIZATION STUDIES","An organizational assessment of interfirm coordination modes","1997","NULL","1997","1997-01-01","18","Journal","6","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>Inter-firm relationships are coordinated to a large extent by non-market mechanisms. The objective of this paper is to identify which of these mechanisms are the most relevant, and how they can be theoretically and empirically combined into discrete alternative modes of organizational coordination between firms. A framework is developed for evaluating the comparative effectiveness and efficiency of these combinations of coordination mechanisms in the regulation of different types of inter-firm interdependence, drawing on both organization theory and organization economics. By analyzing network forms as mixes of coordination mechanisms, the framework offers a typology of inter-firm organization forms that is much more fine-grained and conducive to network organization design than those previously available. The predictive power of the framework is demonstrated by using the vast empirical research available on various types of networks, showing its capacity to explain the main findings on the use of different network forms for governing different types of relations.</p>"
"WOS:000072608300005","ZC705","0013-0133","NULL","NULL","Article","ECONOMIC JOURNAL","Pension reform and economic performance under imperfect capital markets","1998","MAR","MAR 1998","1998-03-01","108","Journal","447","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>We consider an overlapping generations model where heterogeneous agents take decisions on consumption and investment in education under the assumption of imperfect capital markets. We study how the introduction of a pay-as-you-go arid of a fully funded pension scheme affects output and lifetime opportunities, and then analyse the impact of a pension reform. The standard neutrality result for fully funded pension schemes does not hold in this framework. We establish the conditions under which a fully funded scheme is associated with a higher investment in human capital. We show that the transition path may involve poverty traps.</p>"
"WOS:000073333300005","ZK531","0033-6807","NULL","NULL","Article","R & D MANAGEMENT","Exploiting and creating knowledge through customer-supplier relationships: Lessons from a case study","1998","APR","APR 1998","1998-04-01","28","Journal","2","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>Through an in-depth analysis of a customer-supplier relationship in the information technology market, we illustrate the complexities of vertical coordination processes. We focus on the strategic and organizational criteria that suppliers and customers must design in order to favour interaction between their heterogeneous competencies. In the examined case, the supplier provides general purpose knowledge to be utilized and enriched through the contact with, and fertilization by, application abilities available at the customer level.</p>"
"WOS:000073475100004","ZL821","0938-2259","NULL","NULL","Article","ECONOMIC THEORY","The optimality of nominal contracts","1998","MAY","MAY 1998","1998-05-01","11","Journal","3","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>This paper presents a model in which agents choose to use money as a medium of exchange, a means of payment, and a unit of account. The paper defines conditions under which nominal contracts, promising future payment of a fixed number of units of fiat money, prove to be the optimal contract form in the presence of either relative or aggregate price risk. When relative prices are random, nominal contracts are optimal if individuals have ex ante similar preferences over future consumption. When the aggregate price level is random, whether from shocks to the money supply or aggregate output, nominal contracts (perhaps coupled with equity contracts) lead to optimal risk-sharing if individuals have the same degree of relative risk aversion. Finally, nominal contracts may be optimal if the repayment of contracts is subject to a binding cash-in-advance constraint. In this case, a contingent contract increases the risk of holding excessive cash balances.</p>"
"WOS:000073918900007","ZQ946","0040-585X","NULL","NULL","Article","THEORY OF PROBABILITY AND ITS APPLICATIONS","Well calibrated, coherent forecasting systems","1998","NULL","1998","1998-01-01","42","Journal","1","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>This paper introduces a definition of predictive inference based on sequential observations in the light of de Finetti's principle of coherence. It includes characterizations of coherent predictive inferences and of strategic predictive inferences. It thoroughly analyzes the concepts of well calibrated and finitarily well calibrated forecasting systems. Apropos to this subject, some new laws of large numbers are assessed with reference to finitarily additive probability distributions. These results are then used to critically confute some objections raised against the coherence principle.</p>"
"WOS:000073954500017","ZR242","0008-1256","NULL","NULL","Article","CALIFORNIA MANAGEMENT REVIEW","Some conceptual and research barriers to the utilization of knowledge","1998","SPR","SPR 1998","1998-03-01","40","Journal","3","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>Whether in high-tech, service, or traditional industries, the role of knowledge as a primary driver of development is being increasingly recognized. It is not clear, however, whether managerial approaches based on mindsets rooted in past practice are appropriate for, or capable of, fully realizing the potential value of knowledge within the firm and/or industry. At least three related issues stand in the way of full knowledge utilization: conceptualization and measurement of knowledge capital as a primary organizational asset, the integration of knowledge capital into the strategic management process, and the development of organizational forms and processes that facilitate the use and development of knowledge. While leading-edge firms are already wrestling with these issues, advances in theory and research are needed to help develop appropriate responses and provide frameworks that will help spread these new approaches. In doing so, advances may also be made that allow for the recognition of the central role of collaboration in the knowledge process.</p>"
"WOS:000074282700018","ZV223","0967-0750","NULL","NULL","Book Review","ECONOMICS OF TRANSITION","Enterprise and social benefits after communism","1998","APR","APR 1998","1998-04-01","6","Journal","1","NULL","NULL","NULL","NULL","NULL","N","NULL","NULL"
"WOS:000074282700019","ZV223","0967-0750","NULL","NULL","Book Review","ECONOMICS OF TRANSITION","The changing social benefits in Russian enterprises","1998","APR","APR 1998","1998-04-01","6","Journal","1","NULL","NULL","NULL","NULL","NULL","N","NULL","NULL"
"WOS:000074426600005","ZW587","0014-2921","NULL","NULL","Article","EUROPEAN ECONOMIC REVIEW","Measuring monetary policy with VAR models: An evaluation","1998","JUN","JUN 1998","1998-06-01","42","Journal","6","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>This paper evaluates VAR models designed to analyse the monetary policy transmission mechanism in the United States by considering three issues: specification, identification, and the effect of the omission of the long-term interest rate. Specification analysis suggests that only VAR models estimated on a single monetary regime feature parameters stability and do not show signs of mis-specification. The identification analysis shows that VAR-based monetary policy shocks and policy disturbances identified from alternative sources are not highly correlated but yield similar descriptions of the monetary transmission mechanism. Lastly, the inclusion of the long-term interest rate in a benchmark VAR delivers a more precise estimation of the structural parameters capturing behaviour in the market for reserves and shows that contemporaneous fluctuations in long-term interest rates are an important determinant of the monetary authority's reaction function. (C) 1998 Elsevier Science B.V. All rights reserved.</p>"
"WOS:000074767100021","ZZ787","0014-2921","NULL","NULL","Article","EUROPEAN ECONOMIC REVIEW","Towards micropolitical foundations of public finance","1998","MAY","MAY 1998","1998-05-01","42","Journal","3-5","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>Observed fiscal policy reflects the incentives embedded in political institutions. In this paper, we illustrate the effects of two general institutional features: separation of powers, which is common in presidential-congressional political systems, and legislative cohesion, which is typical of parliamentary systems. Compared to a simple legislative game, separation of powers brings about a smaller size of government and lower waste. Legislative cohesion induces a more equal distribution, but more waste and higher taxes, than separation of powers. (C) 1998 Elsevier Science B.V. All rights reserved.</p>"
"WOS:000074964700020","103CW","0007-6791","NULL","NULL","Book Review","BUSINESS HISTORY","European enterprise: Strategies of adaptation and renewal in the twentieth century","1998","JUL","JUL 1998","1998-07-01","40","Journal","3","NULL","NULL","NULL","NULL","NULL","N","NULL","NULL"
