EARLIEST_FILING_YEAR,APPLN_ABSTRACT,PSN_NAME,IPC4
1999,"A mobile station (MS) that comprises an interface card slot (SLOT) to which it is possible to connect either an MMC-card or a small SIM-card. To connect the small interface card a separate adapter the size of an MMC-card is used, or, in addition to the first contact pins meant for use of an MMC-card, second contact pins meant for use of a SIM-card are arranged to the interface card slot. The operating voltage of the interface card is selected to fit the currently used interface card. In some embodiments of the present invention at least partially shared contact pins, which have been multiplexed, are being used to connect MMC- and SIM-cards. <IMAGE>","NOKIA CORPORATION","G06K"
1991,"Methods are disclosed for the production of anti-self antibodies and antibody fragments, being antibodies or fragments of a particular species of mammal which bind self-antigens of that species. Methods comprise providing a library of replicable genetic display packages (rgdps), such as filamentous phage, each rgdp displaying at its surface a member of a specific binding pair which is an antibody or antibody fragment, and each rgdp containing nucleic acid sequence derived from a species of mammal. The nucleic acid sequence in each rgdp encodes a polypeptide chain which is a component part of the sbp member displayed at the surface of that rgdp. Anti-self antibody fragments are selected by binding with a self antigen from the said species of mammal. The displayed antibody fragments may be scFv, Fd, Fab or any other fragment which has the capability of binding antigen. Nucleic acid libraries used may be derived from a rearranged V-gene sequences of unimmunised mammal. Synthetic or artificial libraries are described and shown to be useful.","MRC (MEDICAL RESEARCH COUNCIL)","G01N"
1999,"The detector includes scintillators (S1 to S5), a photo-sensor device (F1 to F5) and an intermediate layer (10). At least some parts of the intermediate layer (10) contain material that absorbs electromagnetic radiation (9). The intermediate layer may be implemented in the form of an adhesive containing a carbon black component which attenuates radiation directly passing through the layer, depending of the thickness of the intermediate layer. The thickness may be 2 to 20 micrometres, attenuating radiation by 5 to 20 per cent. Independent claims are included for an adhesive for joining scintillators and photo-sensors of a detector and for a computer tomograph.","PHILIPS INTELLECTUAL PROPERTY & STANDARDS","G01T"
1999,"The specification describes techniques for wire bonding gold wires (78) to copper metallization (44) in semiconductor integrated circuits. A barrier layer (73) is formed on the copper, and an aluminum bonding pad (77) is formed on the barrier layer. Gold wire is then thermocompression bonded to the aluminum pad. <IMAGE>","LUCENT TECHNOLOGIES","H01L"
1999,"The specification describes source/drain contact material that is compatible with organic semiconductors in thin film transistor integrated circuits. The contact material is nickel/gold wherein the nickel is plated as Ni-P on a base conductor, preferably TiNx, by electroless plating, and the gold overlay is deposited by displacement plating. It was found, unexpectedly, that forming Ni/Au contacts in this way extends the lifetime of TFT devices substantially.","LUCENT TECHNOLOGIES","H01L"
1999,"The system for automatically routing calls to call center agents in an agent surplus condition provides the call center administrator with an automatic agent assignment paradigm which functions to automatically increase the efficiency of assigning multiple skill agents to contacts. The presence of an agent surplus condition provides the present system with a plurality of choices in the assignment of the agent to process a presently received contact. Since the agents who staff the call center include multiple skill agents, the system must make a determination of not only which of the available agents is the best equipped to handle the present contact, but also how that assignment statistically effects the efficiency of successive assignments of agents to contacts next received, based upon the past performance of the agents and the call center. Since the traffic load presented to the call center tends to be highly variable and of content that is difficult to predict, the present system provides several automatic agent assignment paradigms that each have a statistically different impact on the performance of the call center, based upon the quality and quantity of the incoming calls. <IMAGE>","AVAYA TECHNOLOGY CORPORATION","H04L"
1999,"The invention is to provide (i) a catalyst which does not require an activation of catalyst components by means of a calcination which has become a hindrance in the way of obtaining a catalyst having a high activity through a conventional technology and in which catalyst the compositing of vanadium with molybdenum is contemplated more than enough; ii) a method for producing the catalyst; (iii) a catalyst having an activity, especially having an activity at low temperatures and a durability both greatly increased; (iv) a catalyst compound for purifying an exhaust gas, in which compound the ratio of vanadium atom to molybdenum atom (V/Mo) is 3/2 or close thereto and which compound is expressed by the rational formula (NH4)xMo2VxO(3x+6) wherein x is 2.8 to 3.2; and (v) a method for producing the catalyst compound through a step for reacting molybdenum oxide (MoO3) with ammonium metavanadate (NH4VO3) in the co-presence of water for a prescribed period of time. <IMAGE>","BABCOCK HITACHI","B01J"
2000,"New enantiomericlly pure (substituted biphenyl-diyl)-bis(di(het)aryl)phosphines) compounds are prepared from new intermediates and known analogs of phenol and secondary phosphanes. Enantiomerically pure diphosphine compounds of formula (I) are new. Independent claims are also included for the following: (1) new cycloheptadiene compounds of formula (II) and racemic and enantiomerically pure biphenyldiol compounds of formula (III) and their corresponding triflates; (2) preparation of racemic and enantiomerically pure forms of a wider range of diphosphines (I) in which compounds corresponding to (II) and (III) are obtained as intermediates; and (3) preparation of catalysts containing a sub-group VIII metal, metal ion of metal complex by using enantiomerically pure diphosphines as ligands. R = 6-14C aryl or 4-13C heteroaryl containing 1-3 heteroatoms selected from N, O and S, which may be substituted by halogen, 1-6C alkyl, 1-6C alkoxy and/or trimethylsilyl; and R<1>- R<4> = H, 1-10C alkyl, 1-10C alkoxy, F, Cl or Br.","SALTIGO","C07F"
2000,"A choke valve for an automatic transmission is formed from a valve hole (64) having a circular section that runs through a valve body (61) in its thickness direction and a columnar valve main body (67) that is fitted in the valve hole. The valve main body has a pair of annular channels (67a,67b) formed on the outer periphery of the valve main body at opposite ends and a small diameter section formed between the two annular channels, the small diameter section together with the valve hole forming a choke. An inlet port (65) and an outlet port (66) formed between two separator plates and oil channels formed on opposite faces of the valve body communicate with the pair of annular channels, respectively. Thus, the structure of the choke valve for an automatic transmission is simplified, thereby reducing the cost.","HONDA MOTOR COMPANY","F16H"
2000,"A clock control circuit comprises a control circuit (102) for outputting a control signal for adding or subtracting a phase to or from a reference lock, respectively, which is an input clock or a clock generated from the input clock, on each clock period of the reference clock, and a phase adjustment circuit(101) fed with the input clock and outputting an output clock having the phase adjusted to the reference clock.","NEC ELECTRONICS CORPORATION","G06F"
