"UID","itemtitle","pubyear","abstract","subject"
"WOS:000072238700006","The use of proof planning for co-operative theorem proving","1998","
<p>We describe BARNACLE: a co-operative interface to the CLAM inductive theorem proving system. For the foreseeable future, there will be theorems which cannot be proved completely automatically, so the ability to allow human intervention is desirable; for this intervention to be productive the problem of orienting the user in the proof attempt must be overcome. There are many semi-automatic theorem provers: we call our style of theorem proving co-operative, in that the skills of both human and automaton are used each to their best advantage, and used together may find a proof where other methods fail. The co-operative nature of the BARNACLE interface is made possible by the proof planning technique underpinning CLAM. Our claim is that proof planning makes new kinds of user interaction possible.</p>
<p>Proof planning is a technique for guiding the search for a proof in automatic theorem proving. Common patterns of reasoning in proofs are identified and represented computationally as proof plans, which can then be used to guide the search for proofs of new conjectures. We have harnessed the explanatory power of proof planning to enable the user to understand where the automatic prover got to and why it is stuck. A user can analyse the failed proof in terms of CLAM'S specification language, and hence override the prover to force or prevent the application of a tactic, or discover a proof patch. This patch might be to apply further rules or tactics to bridge the gap between the effects of previous tactics and the preconditions needed by a currently inapplicable tactic. (C) 1998 Academic Press Limited.</p>","Computer Science, Theory & Methods"
"WOS:000072238700006","The use of proof planning for co-operative theorem proving","1998","
<p>We describe BARNACLE: a co-operative interface to the CLAM inductive theorem proving system. For the foreseeable future, there will be theorems which cannot be proved completely automatically, so the ability to allow human intervention is desirable; for this intervention to be productive the problem of orienting the user in the proof attempt must be overcome. There are many semi-automatic theorem provers: we call our style of theorem proving co-operative, in that the skills of both human and automaton are used each to their best advantage, and used together may find a proof where other methods fail. The co-operative nature of the BARNACLE interface is made possible by the proof planning technique underpinning CLAM. Our claim is that proof planning makes new kinds of user interaction possible.</p>
<p>Proof planning is a technique for guiding the search for a proof in automatic theorem proving. Common patterns of reasoning in proofs are identified and represented computationally as proof plans, which can then be used to guide the search for proofs of new conjectures. We have harnessed the explanatory power of proof planning to enable the user to understand where the automatic prover got to and why it is stuck. A user can analyse the failed proof in terms of CLAM'S specification language, and hence override the prover to force or prevent the application of a tactic, or discover a proof patch. This patch might be to apply further rules or tactics to bridge the gap between the effects of previous tactics and the preconditions needed by a currently inapplicable tactic. (C) 1998 Academic Press Limited.</p>","Computer Science"
"WOS:000071193500035","Nonparametric estimation of the cyclic cross spectrum","1998","
<p>Cyclostationary processes are an important class of nonstationary processes. In this correspondence we consider nonparametric estimation of the cyclic cross-spectrum. A smoothed periodogram-based estimator is studied and its asymptotic behavior characterized, extending recent univariate work to the multivariate case. Application to cyclic coherence measurements is discussed, The results are useful in a variety of multisensor cyclostationary signal processing scenarios such as time delay and bearing estimation.</p>","Computer Science, Information Systems"
"WOS:000071193500035","Nonparametric estimation of the cyclic cross spectrum","1998","
<p>Cyclostationary processes are an important class of nonstationary processes. In this correspondence we consider nonparametric estimation of the cyclic cross-spectrum. A smoothed periodogram-based estimator is studied and its asymptotic behavior characterized, extending recent univariate work to the multivariate case. Application to cyclic coherence measurements is discussed, The results are useful in a variety of multisensor cyclostationary signal processing scenarios such as time delay and bearing estimation.</p>","Computer Science"
"WOS:000072522700009","On a mixed approach to the finite element solution of large strain elastoplastic problems","1998","
<p>A mixed approach to large strain elastoplastic problems is presented in a somewhat different may to that usually used within the context of the additive split of the rate of deformation tensor into an elastic and plastic part. A nonlinear extended mixed variational equation, in which the Jacobian of the deformation gradient and the pressure part of the stress tensor appear as additional independent variables, is introduced. This equation is then linearized in the accordance with the Newton-Raphson method to obtain the system of linear equations which represent the basis of the mixed finite element procedure. For the case of a bilinear isoparametric interpolation of the displacement field, and for piece-wise constant pressure and Jacobian, simplified expressions, differing from similar expressions corresponding to mixed finite element implementations, are obtained. The effectiveness of the proposed mixed approach is demonstrated by means of two examples.</p>","Computer Science, Interdisciplinary Applications"
"WOS:000072522700009","On a mixed approach to the finite element solution of large strain elastoplastic problems","1998","
<p>A mixed approach to large strain elastoplastic problems is presented in a somewhat different may to that usually used within the context of the additive split of the rate of deformation tensor into an elastic and plastic part. A nonlinear extended mixed variational equation, in which the Jacobian of the deformation gradient and the pressure part of the stress tensor appear as additional independent variables, is introduced. This equation is then linearized in the accordance with the Newton-Raphson method to obtain the system of linear equations which represent the basis of the mixed finite element procedure. For the case of a bilinear isoparametric interpolation of the displacement field, and for piece-wise constant pressure and Jacobian, simplified expressions, differing from similar expressions corresponding to mixed finite element implementations, are obtained. The effectiveness of the proposed mixed approach is demonstrated by means of two examples.</p>","Computer Science"
"WOS:000086659400040","Improving translation quality by manipulating sentence length","1998","
<p>Translation systems tend to have mure trouble with long sentences than with short ones for a variety of reasons. When the source and target languages differ rather markedly, as do Japanese and English, this problem is reflected in lower quality output. To improve readability, we experimented with automatically splitting long sentences into shorter ones. This paper outlines the problem, describes the sentence splitting procedure and rules, and provides an evaluation of the results.</p>","Computer Science, Artificial Intelligence"
"WOS:000086659400040","Improving translation quality by manipulating sentence length","1998","
<p>Translation systems tend to have mure trouble with long sentences than with short ones for a variety of reasons. When the source and target languages differ rather markedly, as do Japanese and English, this problem is reflected in lower quality output. To improve readability, we experimented with automatically splitting long sentences into shorter ones. This paper outlines the problem, describes the sentence splitting procedure and rules, and provides an evaluation of the results.</p>","Computer Science"
"WOS:000074112600019","Communication optimizations for parallel C programs","1998","
<p>This paper presents algorithms for reducing the communication overhead for parallel C programs that use dynamically-allocated data structures. The framework consists of an analysis phase called possible-placement analysis, and a transformation phase called communication selection.</p>
<p>The fundamental idea of possible-placement analysis is to find all possible points for insertion of remote memory operations. Remote reads are propagated upwards, whereas remote writes are propagated downwards. Based on the results of the possible-placement analysis, the communication selection transformation selects the ""best"" place for inserting the communication, and determines if pipelining or blocking of communication should be performed.</p>
<p>The framework has been implemented in the EARTH-McCAT optimizing/parallelizing C compiler, and experimental results are presented for five pointer-intensive benchmarks running on the EARTH-MANNA distributed-memory parallel architecture. These experiments show that the communication optimization can provide performance improvements of up to 16% over the unoptimized benchmarks.</p>","Computer Science, Software Engineering"
"WOS:000074112600019","Communication optimizations for parallel C programs","1998","
<p>This paper presents algorithms for reducing the communication overhead for parallel C programs that use dynamically-allocated data structures. The framework consists of an analysis phase called possible-placement analysis, and a transformation phase called communication selection.</p>
<p>The fundamental idea of possible-placement analysis is to find all possible points for insertion of remote memory operations. Remote reads are propagated upwards, whereas remote writes are propagated downwards. Based on the results of the possible-placement analysis, the communication selection transformation selects the ""best"" place for inserting the communication, and determines if pipelining or blocking of communication should be performed.</p>
<p>The framework has been implemented in the EARTH-McCAT optimizing/parallelizing C compiler, and experimental results are presented for five pointer-intensive benchmarks running on the EARTH-MANNA distributed-memory parallel architecture. These experiments show that the communication optimization can provide performance improvements of up to 16% over the unoptimized benchmarks.</p>","Computer Science"
