"address_id_se","full_address","country"
1,"& INST DETUDES AVANCEES NANTES, CTR CAVAILLSS, COLE NORMALE SUP, RIEURE, NANTES, FRANCE","FRANCE"
4,"& UNIV, CHINESE ACAD SCI, CHINESE ACAD SCI, INST ATMOSPHER PHYS, BEIJING, PEOPLES R CHINA","PEOPLES R CHINA"
6,"'ATHOLIC UNIV DAEGU, DEPT OCCUPAT HLTH, GYONGSAN 712702, SOUTH KOREA","SOUTH KOREA"
7,"'HUNGNAM NATL UNIV HOSP, DAEJEON, SOUTH KOREA","SOUTH KOREA"
8,"'ONGGUK UNIV, GYEONGJU HOSP, GYEONGJU, SOUTH KOREA","SOUTH KOREA"
9,"'OREA ELECT TECHNOL INST, DEPT MULTIMEDIA, IP RES CTR, SONGNAM 463400, SOUTH KOREA","SOUTH KOREA"
11,"'YEONGSANG NATL UNIV, DIV APPL LIFE SCI PLUS BK21, DEPT ANIM SCI, JINJU 660701, GYEONGSANGNAM D, SOUTH KOREA","SOUTH KOREA"
13,"()SITAR UNIV, COLL ENGN, GAS PROC CTR, POB 2713, DOHA, QATAR","QATAR"
15,"(EMBRAPA CERRADOS, BR 020,KM 18,CAIXA POSTAL 08223, BR-73310970 BRASILIA, DF, BRAZIL","BRAZIL"
16,"(R)EVOLUT GMBH, D-53113 BONN, GERMANY","GERMANY"
17,"*, *, WASHINGTON, DC 20420 USA","USA"
18,",JOSIP JURAJ STROSSMAYER UNIV, OSIJEK MED FAC, OSIJEK 31000, CROATIA","CROATIA"
19,",UNIVERS NAMUR, NTHC, NAMUR RES INST LIFE SCI NARILIS, DEPT PHARM, YVOIR, BELGIUM","BELGIUM"
22,"/HOSP SANTA MARTA, CTR HOSP LISBOA CENT, SERV MED 4, LISBON, PORTUGAL","PORTUGAL"
25,"0 18 KLIN, PEDIAT ENDOCRINOL, ISTANBUL, TURKEY","TURKEY"
26,"0 18KLIN, GROWTH & FEEDING DISORDERS CTR, ISTANBUL, TURKEY","TURKEY"
24,"0, NEW S WALES, AUSTRALIA","AUSTRALIA"
27,"00014 HELSINGIN YLIOPISTO, DEPT GEN PRACTICE, UNIV HELSINKI, HAARTMANINKATU 8,3 KRS PL 63 BIOMEDICUM, HELSINKI 00014, FINLAND","FINLAND"
29,"00014 HELSINGIN YLIOPISTO, UNIT PRIMARY HLTH CARE, HELSINKI UNIV HOSP, HAARTMANINKATU 8,3 KRS PL 63 BIOMEDICUM, HELSINKI 00014, FINLAND","FINLAND"
31,"00014 UNIV HELSINKI, BIOMEDICUM HELSINKI, FOLKHALSAN RES CTR, HELSINKI, FINLAND","FINLAND"
51,"00014 UNIV HELSINKI, DEPT AGR SCI, HELSINKI, FINLAND","FINLAND"
43,"00014 UNIV HELSINKI, DEPT BIOL & ENVIRONM SCI, PL 65, HELSINKI, FINLAND","FINLAND"
47,"00014 UNIV HELSINKI, DEPT BIOSCI, HELSINKI, FINLAND","FINLAND"
40,"00014 UNIV HELSINKI, DEPT FOREST ECOL, HELSINKI, FINLAND","FINLAND"
36,"00014 UNIV HELSINKI, DEPT FOREST SCI, HELSINKI, FINLAND","FINLAND"
34,"00014 UNIV HELSINKI, DEPT MODERN LANGUAGES, HELSINKI, FINLAND","FINLAND"
37,"00014 UNIV HELSINKI, DEPT PHYS, HELSINKI, FINLAND","FINLAND"
38,"00014 UNIV HELSINKI, DEPT PUBL HLTH, HJELT INST, HELSINKI, FINLAND","FINLAND"
48,"00014 UNIV HELSINKI, DEPT SOCIAL RES SOCIAL PSYCHOL, HELSINKI, FINLAND","FINLAND"
45,"00014 UNIV HELSINKI, HELSINKI COLL ADV STUDIES, HELSINKI, FINLAND","FINLAND"
35,"00014 UNIV HELSINKI, INST BIOMED, HELSINKI, FINLAND","FINLAND"
46,"00014 UNIV HELSINKI, INST BIOTECHNOL, HELSINKI, FINLAND","FINLAND"
33,"00014 UNIV HELSINKI, INST MOL MED FINLAND FIMM, HELSINKI, FINLAND","FINLAND"
41,"00014 UNIV HELSINKI, UNIV HELSINKI, DEPT DERMATOL ALLERGOL & VENEREOL, HELSINKI, FINLAND","FINLAND"
49,"00014 UNIV HELSINKI, VIIKKI PLANT SCI CTR, DEPT AGR SCI, HELSINKI, FINLAND","FINLAND"
52,"00045 NOKIA GRP, RADIO COMMUN LAB, NOKIA RES CTR, ESPOO, FINLAND","FINLAND"
54,"0011 REM TAP, RETICS RD06, ST JOAN DE DEU SSM, BARCELONA, SPAIN","SPAIN"
56,"00161 IST SUPER SANITA, DEPT THERAPEUT RES & MED EVALUAT, ROME, ITALY","ITALY"
57,"0029 HELSINKI UNIV CENT HOSP, DEPT ADOLESCENT PSYCHIAT, HELSINKI, FINLAND","FINLAND"
25956605,"01 BP 2938, OUAGADOUGOU 01, OUAGA, BURKINA FASO","BURKINA FASO"
58,"01 GEN ARMY HOSP, ATHENS, GREECE","GREECE"
60,"01 MT MED BATTAL, BAGH, AJK, PAKISTAN","PAKISTAN"
59,"01 MT MED BATTAL, DEPT SURG, BAGH, AJK, PAKISTAN","PAKISTAN"
62,"01 MTN MED BN, BAGH, AZAD KASHMIR, PAKISTAN","PAKISTAN"
61,"01 MTN MED BN, DEPT SURG, BAGH, AZAD KASHMIR, PAKISTAN","PAKISTAN"
63,"01 PLIROFORIKI SA, ATHENS 11143, GREECE","GREECE"
64,"01 UR 08 07, TUNIS, TUNISIA","TUNISIA"
65,"0112 UNIV CALIF SAN DIEGO, DEPT MATH, LA JOLLA, CA 92093 USA","USA"
66,"014 CTR FIRST AVIAT GRP CORP CHINA, LUOYANG 417009, PEOPLES R CHINA","PEOPLES R CHINA"
67,"018 ANIM RES FACIL, UNIT LAB ANIM MED, ANN ARBOR, MI 48109 USA","USA"
69,"01DB METRAVIB, F-69578 LIMONEST, FRANCE","FRANCE"
68,"01DB METRAVIB, F-69760 LIMONEST, FRANCE","FRANCE"
70,"02115 SANDIA NATL LAB, ALBUQUERQUE, NM 87185 USA","USA"
71,"0219 ZO CSOP ALCEDO, CZECH UNION NAT CONSERVAT, VLASIM 25801, CZECH REPUBLIC","CZECH REPUBLIC"
72,"03 02 NATL UNIV SINGAPORE, CTR LIFE SCI, DEPT PHARMACOL, CARDIOVASC BIOL GRP, SINGAPORE 117456, SINGAPORE","SINGAPORE"
75,"03 09 MT ELIZABETH MED CTR, SEOW CHOEN COLORECTAL CTR, SINGAPORE 228510, SINGAPORE","SINGAPORE"
76,"0349 UNIV CALIF SAN DIEGO, LA JOLLA, CA 92093 USA","USA"
77,"04 18 GLENEAGLES MED CTR, SINGAPORE 258499, SINGAPORE","SINGAPORE"
25951038,"04 BP 8235, OUAGADOUGOU 04, BURKINA FASO","BURKINA FASO"
78,"04 COAS, CORVALLIS, OR 97331 USA","USA"
79,"0407 UCSD, DEPT ECE, LA JOLLA, CA 92093 USA","USA"
80,"0478 ST MICHEL OBSERV, CNRS, OBSERV HAUTE PROVENCE, PARIS, FRANCE","FRANCE"
25959793,"05 ANDERSON RD, COLOMBO 05, SRI LANKA","SRI LANKA"
25960069,"05 RUE 3 FRERES AISSOU, BEN AKNOUN, ALGIES, ALGERIA","ALGERIA"
82,"05 STAT BERATUNG, DUSSELDORF, GERMANY","GERMANY"
83,"05 STATISTIKBERATUNG, DUSSELDORF, GERMANY","GERMANY"
84,"05 UR 09 05 PHYSIOL & ECOPHYSIOL ORGAISMES AQUAT F, PHYSIOL LAB, MONASTIR, TUNISIA","TUNISIA"
85,"0502 PETIT INST BIOENGN & BIOSCI, SCH BIOL, ATLANTA, GA 30332 USA","USA"
86,"0508 UNIV CALIF, DEPT ECON, LA JOLLA, CA 92093 USA","USA"
25948999,"053,TOWER 36, MADRAS 600130, TAMIL NADU, INDIA","INDIA"
89,"0532 UNIV CALIF SAN DIEGO, DEPT ANTHROPOL, LA JOLLA, CA 92093 USA","USA"
87,"0532 UNIV CALIF, DEPT ANTHROPOL, UGALLA PRIMATE PROJECT, SAN DIEGO, CA 92093 USA","USA"
90,"056 ALBERT LUDWIGS UNIV FREIBURG, INST MAKROMOL CHEM, D-79104 FREIBURG, GERMANY","GERMANY"
25959672,"06 BP 10727, OUAGADOUGOU 06, BURKINA FASO","BURKINA FASO"
91,"061 & INST CIENCIAS SALUD, ARAGON, SPAIN","SPAIN"
92,"061 ACCID & EMERGENCY SERV, HUELVA, SPAIN","SPAIN"
93,"061 EMERGENCY, HUESCA, SPAIN","SPAIN"
94,"061 SERV COORDINADOR URGENCIAS BARCELONA, CENT COORDINAC, BARCELONA, SPAIN","SPAIN"
95,"06198 NUNE EYE HOSP, 404 SEOLLEUNG RO, SEOUL, SOUTH KOREA","SOUTH KOREA"
97,"0693 UNIV CALIF SAN DIEGO, DEPT MED, LA JOLLA, CA 92093 USA","USA"
96,"0693 UNIV CALIF, DEPT MED, LA JOLLA, CA 92093 USA","USA"
98,"07 01 MT ELIZABETH MED CTR, WOMENS HLTH & FERTIL CTR, SINGAPORE, SINGAPORE","SINGAPORE"
25951821,"07 RADHIKA APARTMENT,SURVEY 12-1-2,ANANDNAGAR, PUNE 411051, MAHARASHTRA, INDIA","INDIA"
25949610,"07-03,BLOCK E1A,1 ENGN DR 2, SINGAPORE 117576, SINGAPORE","SINGAPORE"
25949166,"072BP50, COTONOU, BENIN","BENIN"
99,"07747 JENA UNIV HOSP, CLIN INTERNAL MED KIM NEPHROL 3, JENA, GERMANY","GERMANY"
100,"08 42 MT ELIZABETH NOVENA SPECIALIST CTR, SINGAPORE 329563, SINGAPORE","SINGAPORE"
25951037,"08 BP 2920, ABIDJAN 08, COTE IVOIRE","COTE IVOIRE"
102,"08 MAI 1945 UNIV GUELMA, DEPT ELECT ENGN, FAC TECHNOL, GUELMA, ALGERIA","ALGERIA"
101,"08 MAI 1945 UNIV, FAC SCI & INGENIERY, GUELMA, ALGERIA","ALGERIA"
106,"08 MAI 45 UNIV, DEPT PROC ENGN, GUELMA, ALGERIA","ALGERIA"
105,"08 MAI 45 UNIV, GPL, GUELMA, ALGERIA","ALGERIA"
104,"08 MAI 45 UNIV, GUELMA PHYS LAB, GUELMA, ALGERIA","ALGERIA"
107,"08 MAI 45 UNIV, LAB APPL CHEM, GUELMA 24000, ALGERIA","ALGERIA"
108,"08 MAY 1945 UNIV, ELECT ENGN LAB, GUELMA 24000, ALGERIA","ALGERIA"
109,"0818 UNIV CALIF SAN DIEGO, ANESTHESIOL RES LAB, LA JOLLA, CA USA","USA"
110,"0831 UNIV CALIF SAN DIEGO, DEPT PEDIAT, SCH MED, LA JOLLA, CA 92093 USA","USA"
112,"084 UNIV NEVADA, DEPT MATH, RENO, NV 89557 USA","USA"
25950138,"09 BP 164, COTONOU, BENIN","BENIN"
113,"0ANISH FOREST & LANDSCAPE RES INST, DEPT FORESTRY, DK-2970 HORSHOLM, DENMARK","DENMARK"
114,"0EWAVES, PASADENA, CA 91106 USA","USA"
115,"0FIOCRUZ, CPQGM, LASP, FUNDACAO OSWALDO CRUZ, SALVADOR, BA, BRAZIL","BRAZIL"
118,"0GEORGIA SO UNIV, INST ARTHROPODOL & PARASITOL, STATESBORO, GA 30460 USA","USA"
119,"0LILLY POLSKA, WARSAW, POLAND","POLAND"
120,"0MORY UNIV, SCH MED, DEPT OTOLARYNGOL HEAD & NECK SURG, EMORY VOICE CTR, ATLANTA, GA USA","USA"
123,"0NIV MELBOURNE, MELBOURNE MED SCH, DEPT MED EDUC, MELBOURNE, VIC 3015, AUSTRALIA","AUSTRALIA"
125,"0P7 GHENT UNIV HOSP, B-9000 GHENT, BELGIUM","BELGIUM"
126,"0PT SHANGHAI JIAO TONG UNIV, STATE KEY LAB FIBER OPT LOCAL AREA NETWORKS & ADV, SHANGHAI 200240, PEOPLES R CHINA","PEOPLES R CHINA"
127,"0SPED AMEDEO SAVOIA, TURIN, ITALY","ITALY"
128,"0ST EDUC & RES HOSP, MINIST HLTH, ISTANBUL, TURKEY","TURKEY"
129,"0TOCKHOLM UNIV, WENNER GREN INST, DEPT MOL BIOSCI, 0-10691 STOCKHOLM, SWEDEN","SWEDEN"
131,"0YUNGPOOK NATL UNIV, DAEGU, SOUTH KOREA","SOUTH KOREA"
132,"1 001 MANCHESTER INTERDISCIPLINARY BIOCTR, MANCHESTER M1 7DN, LANCS, ENGLAND","ENGLAND"
