"APPLN_AUTH","APPLN_ID","EARLIEST_FILING_YEAR","APPLN_ABSTRACT","IPC4","PSN_NAME"
"EP",2,1991,"Methods are disclosed for the production of anti-self antibodies and antibody fragments, being antibodies or fragments of a particular species of mammal which bind self-antigens of that species. Methods comprise providing a library of replicable genetic display packages (rgdps), such as filamentous phage, each rgdp displaying at its surface a member of a specific binding pair which is an antibody or antibody fragment, and each rgdp containing nucleic acid sequence derived from a species of mammal. The nucleic acid sequence in each rgdp encodes a polypeptide chain which is a component part of the sbp member displayed at the surface of that rgdp. Anti-self antibody fragments are selected by binding with a self antigen from the said species of mammal. The displayed antibody fragments may be scFv, Fd, Fab or any other fragment which has the capability of binding antigen. Nucleic acid libraries used may be derived from a rearranged V-gene sequences of unimmunised mammal. Synthetic or artificial libraries are described and shown to be useful.","G01N","MRC (MEDICAL RESEARCH COUNCIL)"
"EP",4,1999,"The specification describes techniques for wire bonding gold wires (78) to copper metallization (44) in semiconductor integrated circuits. A barrier layer (73) is formed on the copper, and an aluminum bonding pad (77) is formed on the barrier layer. Gold wire is then thermocompression bonded to the aluminum pad. <IMAGE>","H01L","LUCENT TECHNOLOGIES"
"EP",5,1999,"The specification describes source/drain contact material that is compatible with organic semiconductors in thin film transistor integrated circuits. The contact material is nickel/gold wherein the nickel is plated as Ni-P on a base conductor, preferably TiNx, by electroless plating, and the gold overlay is deposited by displacement plating. It was found, unexpectedly, that forming Ni/Au contacts in this way extends the lifetime of TFT devices substantially.","H01L","LUCENT TECHNOLOGIES"
"EP",6,1999,"The system for automatically routing calls to call center agents in an agent surplus condition provides the call center administrator with an automatic agent assignment paradigm which functions to automatically increase the efficiency of assigning multiple skill agents to contacts. The presence of an agent surplus condition provides the present system with a plurality of choices in the assignment of the agent to process a presently received contact. Since the agents who staff the call center include multiple skill agents, the system must make a determination of not only which of the available agents is the best equipped to handle the present contact, but also how that assignment statistically effects the efficiency of successive assignments of agents to contacts next received, based upon the past performance of the agents and the call center. Since the traffic load presented to the call center tends to be highly variable and of content that is difficult to predict, the present system provides several automatic agent assignment paradigms that each have a statistically different impact on the performance of the call center, based upon the quality and quantity of the incoming calls. <IMAGE>","H04L","AVAYA TECHNOLOGY CORPORATION"
"EP",13,2000,"A clock control circuit comprises a control circuit (102) for outputting a control signal for adding or subtracting a phase to or from a reference lock, respectively, which is an input clock or a clock generated from the input clock, on each clock period of the reference clock, and a phase adjustment circuit(101) fed with the input clock and outputting an output clock having the phase adjusted to the reference clock.","G06F","NEC ELECTRONICS CORPORATION"
"EP",61,2003,"A cellular telephone including a function of a so-called videophone continuously transmits image data obtained by forming an image with a camera together with voice data obtained by inputting a voice by use of a microphone. During connection of a communication unit through a communication path, a character composition circuit combines character data with the image data to obtain composite data. This composite data is transmitted by the communication unit during connection of the communication path. <??>During connection of the communication path, the character data is combined with the image data to obtain the composite data. Thus, it is no longer necessary to transmit the character data through a different channel. Moreover, during connection of the communication path, the character data in the composite data relevant to the contents of the talk, for example, can be displayed on a display. Thus, the contents of the talk (information) can be quickly and accurately transmitted. <IMAGE>","H04N","NEC CORPORATION"
"EP",62,2003,"Cosmetic powder comprises 1-9 wt.% finely divided hydrophobic silica with a BET surface area of 180-280 m 2>/g and an average particle size of 5-30 nm, 20-95 wt.% water and 0.1-20 wt.% of a hydrophilic humectant and has a silica:water ratio of 1:11-30. The powder contains no oil, water-soluble polymers (polyvinylpyrrolidone, polyvinyl acetate, acrylic or urethane polymers) or hydrocolloids. An independent claim is also included for production of the powder by premixing the water with the humectant and other liquid ingredients, mixing the premix with the silica with a mechanical mixer at 1000-3000 rpm for 3-15 minutes, and adding powder ingredients to the product.","A61K","COTY"
"EP",64,2003,"The assembly (10) to test the permeability of a continuous belt (11), and especially a water-absorbent press blanket in a papermaking machine, has a jet (12) to deliver a measurement fluid at and through the belt. A monitor (104) registers the belt movement speed and/or a monitor (19) establishes the jet stream speed and the jet pressure is recorded by a diaphragm (102) flanked by pressure sensors (100,101). The three measurements are taken simultaneously so that a deviation in one cannot affect the accuracy of the permeability test at the evaluation unit (105).","G01N","VOITH PAPER PATENT"
"EP",79,2004,"Pin (10) has a rod-shaped body (12) which can conduct force (F) extended on the implant on one side (20) of the cross-section (16) and on the other opposite side (22) direct it into an anchoring spot. The cross-section which has a coarse nodular shape (18), has at least two bearing spots (24,26) via which the force can distributed.","A61B","KARL STORZ & COMPANY"
"EP",86,2004,"A method of generating an aggregate frame having a header unit, which carries MAC-header information applicable to one or more data units of said aggregate frame. Since each data unit of the aggregate frame no longer needs to carry the full MAC-header information, the overhead associated with the MAC header can be significantly reduced. At the receiver, the full MAC header corresponding to the data unit is reconstructed by (i) matching the appropriate header and data units to one another and (ii) combining the information present in the header unit and the compressed header portion of the data unit. Embodiments of the present invention are capable of improving the data throughput, for example, in an entertainment network having paired source and destination devices (e.g., a DVD player and an LCD screen) with a relatively large amount of data streamed from the former to the latter.","H04L","AGERE SYSTEMS"
"EP",98,2006,"The device has a microwave applicator (10) with an opening (13) for bringing a product to be measured in reciprocal effect with a microwave field. A set of resonator coaxial cables (21, 37, 38) is connected with a resonator cavity (12) of the microwave applicator in a microwave conducting manner, where the resonant microwave field is partially formed in the resonator coaxial cables. The resonator coaxial cables and the resonator cavity form a ring resonator (27).","G01N","AMS ADVANCED MICROWAVE SYSTEMS"
"EP",114,2005,"A method that seeks to provide a satisfactory quality of service for a stream of packets through a network. The illustrative embodiment of the present invention seeks to provide a satisfactory quality of service for a stream of packets by periodically or sporadically evaluating one or more alternative paths through the network and by sending the packets through a path with an acceptable quality of service. Normally, neither the source node nor any other node in a packet's path controls its route after it has left the node. In contrast, the illustrative embodiment of the present invention has the capability to affect the packet's path through the network by sending the packet to an intermediate or 'ricochet' node in the network, which forwards the packet to the destination node. In effect, the source node can, if it deems appropriate, ricochet the packet off of the intermediate node rather than allowing the packet to take its normal direct path through the network.","H04L","AVAYA TECHNOLOGY CORPORATION"
"EP",144,2007,"The implant (1) has an implant base plate (10) for positioning between two spinal processes. A locking mechanism e.g. detent mechanism, is formed by a splint (60) that is movable between two positions, and is interfused by a detent shaft (40) of the implant base plate, which comprises an irregular section (42), where the shaft is rotated around longitudinal axis in a recess of the splint in one of the positions. The recess forms a form closure with an irregular section of the shaft in another position, where rotation of the shaft is prevented.","A61B","ROBLING, CHRISTIAN"
"EP",149,2007,"The component has an organic layer arrangement formed between an electrode (11) and a counter electrode (12) and electrically insulated from the electrode and counter electrode. The arrangement comprises light emitting layers (16, 17) and a charge carrier production region (20) associated to the emitting layers, where the region provides positive and negative electric charge carriers e.g. holes and electrons. A pn-layer transition is formed by a p-doped organic layer (22) and n-doped organic layers (21, 23), which are arranged next to the p-doped layer, in the production region. An independent claim is also included for a method for operating an organic electroluminescent component.","H01L","NOVALED"
"EP",162,2007,"The inventory management system (100) has an inventory collection unit (101) for the collection of filling level data or pressure data. A central system (102) and a communication unit, which is assigned to the inventory collection unit, are provided for transmitting the filling level data or pressure data to the central system, and for receiving controlling data or regulation data of the central system in every case by the Internet. The central system is carried out for central management and processing the filling level data or pressure data. An independent claim is also included for a method for the automatic monitoring and controlling filling level or pressure level, which involves collecting filling level data or pressure data by an inventory collection unit.","H04L","VEGA GRIESHABER"
"EP",175,2007,"The sampling device has a common base body (1), which comprises of a vapor inlet (S1), a vapor outlet (S2), a valve (6) between them, which is in communication connection with a condensation chamber which is force cooled and closed by another valve (5). A condensate outlet (S3) is provided, which is controlled by a third valve (4).","G01N","GEMUE GEBRUEDER MUELLER APPARATEBAU & COMPANY"
"EP",179,2007,"The method involves providing different subscribers such as actuators e.g. roller a shutter drives, and sensors, which are provided with transmitters and receivers for bidirectional signal transmission. One of the sensors functions as a superordinate system administrator. The subscribers are included in a radio system through a programming mode. Status of the subscribers is automatically determined after activation of the mode, where the subscribers are differentiated between undefined system administrators or dependent network-nodes. A status dependent learning mode is started in the mode.","H04L","MERTEN & COMPANY"
"EP",240,2007,"The solar cell has sub-cells (1, 2) including p-type layers (p1, p2) and phosphorus-doped n-type layers (n1, n2), where light falls via the p-type layers into intrinsic layers (i1, i2). The layer (p2) has a sub-layer (p21) at an interface to the layer (n1). The sub-layer (p21) has nano-crystalline silicon comprising crystals with a size of 1 to 100 nanometers, and has a layer thickness of 2 nanometers. The layer (n1) has a layer thickness smaller than that of the layer (p2) of the sub-cell (2). The layer (p2) has an increased band-gap by alloying with carbon, oxygen or nitrogen.","H01L","SCHOTT SOLAR"
"EP",252,2008,"The method comprises receiving a first measuring signal by an evaluation arrangement of analysis device, and a second measuring signal, arranged one after the other for a test system (1), and a measuring area guiding by a copper fluid sample with the analyte after abandoning on the test system. The first measuring signal of a part of the analytes connected in the first measuring area and the second measuring signal in the second area that is downstream to the first measuring area on the test system indicate the part of the analyte after the task of the fluid sample on the test system. The method comprises receiving a first measuring signal by an evaluation arrangement of analysis device, and a second measuring signal, arranged one after the other for a test system (1), and a measuring area guiding by a copper fluid sample with the analytes after abandoning on the test system. The first measuring signal of a part of the analytes connected in the first measuring area and the second measuring signal in the second area that is downstream to the first measuring area on the test system indicate the part of the analyte after the task of the fluid sample on the test system. The concentration measure correlating with the concentration of the analytes in the fluid sample is determined in accordance with the measuring signal connection before the evaluation device. The concentration measure is issued after a selective processing by the evaluation device. A first optical measuring signal as the first measuring signal and the second optical measuring signal as the second measuring signal are received. The first and the second measuring areas are adjoined on the test system so that the concentration measure is determined in accordance with the simplified measuring signal connection. Independent claims are included for: (1) analysis device for the determination of analytes in a copper fluid sample; and (2) a computer program product for the determination of analytes in a copper fluid sample.","G01N","ROCHE"
"EP",293,2008,"The method involves arranging secure networks (N1-N5) adjacent to each other, and associating end points (E1-E5) with the respective networks. The networks are integrated in a higher-level network structure via the end points. An inner network (N6) is arranged in the secure network (N1). An address of an end point (E6) of the inner network is made invisible and/or unreadable for an insecure network (Nu). A connection between the secure networks is established during an initialization process, where the connection is provided for data transport via a secure tunnel.","H04L","SECUNET SECURITY NETWORKS"
"EP",345,2007,"The unit to collect gases in molten metal has a mounting (1) for a carrier tube, to be immersed into the molten metal together with gas connections (3,3') from a central gas channel (4) to pass a carrier gas into the metal. At least a part of the gas collection body (2) has a gas impermeable layer composed of a lower metal part-layer (11), with a higher melting point than the molten metal, and an outer ceramic part-layer (12).","G01N","HERAEUS ELECTRO-NITE INTERNATIONAL"
