"UID","addr_num","organization","suborganization","full_address","city","state","country","zip"
"WOS:000071806400001","1","UNIVERSITA DI MODENA E REGGIO EMILIA","NULL","UNIV MODENA, MILAN, ITALY","MILAN","NULL","ITALY","NULL"
"WOS:000071806400001","2","UNIV L BOCCONI","NULL","UNIV L BOCCONI, MILAN, ITALY","MILAN","NULL","ITALY","NULL"
"WOS:000072608300005","1","UNIVERSITY OF OXFORD","NULL","UNIV OXFORD NUFFIELD COLL, OXFORD OX1 1NF, ENGLAND","OXFORD","NULL","ENGLAND","OX1 1NF"
"WOS:000072608300005","2","UNIV BOCCONI","NULL","UNIV BOCCONI, MILAN, ITALY","MILAN","NULL","ITALY","NULL"
"WOS:000073333300005","1","UNIVERSITY OF URBINO","FAC ECON","UNIV URBINO, FAC ECON, ISA, I-61029 URBINO, ITALY","URBINO","NULL","ITALY","I-61029"
"WOS:000073333300005","1","UNIVERSITY OF URBINO","ISA","UNIV URBINO, FAC ECON, ISA, I-61029 URBINO, ITALY","URBINO","NULL","ITALY","I-61029"
"WOS:000073333300005","2","UNIV L BOCCONI","IEFE","UNIV L BOCCONI, IEFE, I-20122 MILAN, ITALY","MILAN","NULL","ITALY","I-20122"
"WOS:000073475100004","1","UNIVERSITY OF TEXAS AUSTIN","DEPT ECON","UNIV TEXAS, DEPT ECON, AUSTIN, TX 78712 USA","AUSTIN","TX","USA","78712"
"WOS:000073475100004","2","UNIV BOCCONI","NULL","UNIV BOCCONI, I-20136 MILANO, ITALY","MILANO","NULL","ITALY","I-20136"
"WOS:000073475100004","3","INNOCENZO GASPARINI INST ECON RES","NULL","INNOCENZO GASPARINI INST ECON RES, I-20136 MILANO, ITALY","MILANO","NULL","ITALY","I-20136"
"WOS:000073918900007","1","DIPARTIMENTO STAT G PARENTI","NULL","DIPARTIMENTO STAT G PARENTI, I-50134 FLORENCE, ITALY","FLORENCE","NULL","ITALY","I-50134"
"WOS:000073918900007","2","IMQ UNIV L BOCCONI","NULL","IMQ UNIV L BOCCONI, I-20136 MILANO, ITALY","MILANO","NULL","ITALY","I-20136"
"WOS:000073954500017","1","UNIVERSITY OF NORTH TEXAS SYSTEM","COLL BUSINESS ADM","UNIV N TEXAS, COLL BUSINESS ADM, DENTON, TX 76203 USA","DENTON","TX","USA","76203"
"WOS:000073954500017","2","UNIVERSITY OF CALIFORNIA SYSTEM","HAAS SCH BUSINESS","UNIV CALIF BERKELEY, HAAS SCH BUSINESS, BERKELEY, CA 94720 USA","BERKELEY","CA","USA","94720"
"WOS:000073954500017","3","UNIVERSITY OF CASSINO","IST IMPRESA & LAVORO","UNIV CASSINO, IST IMPRESA & LAVORO, CASSINO, ITALY","CASSINO","NULL","ITALY","NULL"
"WOS:000073954500017","4","BOCCONI UNIVERSITY","GRAD SCH MANAGEMENT","BOCCONI UNIV, GRAD SCH MANAGEMENT, ORG & HUMAN RESOURCE MANAGEMENT DEPT, SDA, MILAN, ITALY","MILAN","NULL","ITALY","NULL"
"WOS:000073954500017","4","BOCCONI UNIVERSITY","ORG & HUMAN RESOURCE MANAGEMENT DEPT","BOCCONI UNIV, GRAD SCH MANAGEMENT, ORG & HUMAN RESOURCE MANAGEMENT DEPT, SDA, MILAN, ITALY","MILAN","NULL","ITALY","NULL"
